LAT,LONG,ALT
35.292017,74.731455,4424.159
35.070647,74.853004,3950.652
34.884055,74.880816,3344.121
34.811062,74.935411,3865.188
34.625607,74.962212,2899.05
34.405116,75.037271,3731.554
34.221905,75.106622,3473.786
34.000943,75.137468,3021.784
33.817134,75.163005,1656.316
33.527908,75.199355,2362.697
33.384078,75.216821,2065.781
33.096743,75.251539,2508.973
32.920158,75.357904,2279.673
32.747551,75.590659,2352.058
32.610608,75.818059,1124.165
32.47235,76.002305,1237.705
32.368581,76.139965,1978.949
32.193575,76.284538,868.915
32.018715,76.428297,969.276
31.914074,76.522498,589.002
31.701979,76.585412,942.609
31.523778,76.561414,788.358
31.308417,76.458125,417.666
31.236636,76.423811,306.89
30.982048,76.201614,252.954
30.910308,76.167566,258.26
30.368132,75.769778,236.772
30.331602,75.732453,244.428
30.147226,75.505352,222.923
29.783964,75.216534,206.686
29.314551,74.899218,194.627
29.239469,74.78478,191.852
28.951827,74.611876,203.39
28.843666,74.542234,220.255
28.770415,74.468483,214.771
28.409545,74.222523,235.411
28.301394,74.153075,250.684
28.078835,73.892507,258.419
27.856159,73.631015,289.915
27.706527,73.443601,286.345
27.521943,73.260427,317.486
27.337094,73.077354,296.831
27.078019,72.820262,311.915
27.040943,72.783605,323.217
26.820734,72.604744,317.331
26.634894,72.421213,279.099
26.204394,72.223294,180.308
26.169878,72.227139,168.083
25.856496,72.221137,106.981
25.71566,72.196006,110.299
25.612177,72.207511,127.795
25.232947,72.248614,102.306
24.816583,72.249379,264.384
24.365726,72.253541,141.472
24.190442,72.230538,146.156
24.121546,72.237336,132.828
23.839717,72.183889,86.333
23.629633,72.161947,59.898
23.199422,71.999181,25
23.058021,71.971623,20.374
22.919878,71.983813,13.146
22.801497,72.233731,15.939
22.714202,72.440369,23.893
22.720626,72.519383,20.112
22.564185,72.730992,29.525
22.435824,72.860318,28.376
22.278864,73.068642,33.46
22.152982,73.233857,29.635
22.023975,73.35968,39.859
21.891923,73.446444,31.123
21.762866,73.571746,185.958
21.596261,73.660331,281.607
21.357569,73.714525,192.876
20.945511,73.778128,460.543
20.702574,73.791188,565.609
20.633128,73.794913,508.345
20.528928,73.800495,1023.516
20.25092,73.815417,619.448
19.903141,73.834112,563.065
19.344056,73.860519,1163.441
19.168707,73.86809,787.79
19.028329,73.874138,703.901
18.859475,73.958057,784.129
18.757445,74.000693,618.524
18.51816,74.087299,532.556
18.207978,74.176099,668.11
17.93459,74.299154,651.644
17.653963,74.346005,768.444
17.408546,74.391666,738.489
17.059506,74.478401,559.218
16.920467,74.5206,551.354
16.669057,74.526477,539.358
16.308624,74.534286,708.143
16.131417,74.575634,648.466
16.026356,74.615407,754.159
15.783234,74.733066,673.317
15.503536,74.851276,637.491
15.191174,75.042398,554.11
15.054661,75.156148,674.809
14.88129,75.270237,563.156
14.634145,75.385086,637.309
14.312589,75.500466,684.699
14.171816,75.576536,597.541
13.847515,75.69049,592.408
13.599319,75.840143,794.124
13.206946,76.06421,881.921
13.100404,76.138401,1008.847
12.956131,76.212729,947.89
12.704857,76.361172,841.796
12.411202,76.507531,767.981
11.968152,76.72656,734.91
11.295619,76.982427,309.641
11.035087,77.128085,361.192
10.693312,77.272483,333.108
10.498875,77.307751,335.955
10.190662,77.415414,2365.093
10.1112,77.414818,1355.884
9.800693,77.522195,411.937
9.523181,77.592207,163.646
9.410345,77.700914,108.862
9.543924,77.849032,95.953
9.745758,77.851082,149.973
10.18465,77.854381,237.676
10.382984,77.855714,281.749
10.772665,77.785225,213.729
10.927542,77.749754,224.346
11.158019,77.678324,258.219
11.194564,77.642076,264.25
11.651283,77.533816,653.478
11.838689,77.46123,452.58
11.989971,77.425076,676.531
12.365511,77.316316,771.582
12.442117,77.316503,663.86
12.627258,77.24359,665.71
12.885164,77.169322,902.058
13.142186,77.094856,827.183
13.361233,77.020524,794.332
13.585843,77.019623,753.568
13.8385,76.908399,657.624
14.024942,76.907654,592.642
14.243363,76.868863,554.597
14.42144,76.793458,542.49
14.675527,76.753983,659.106
14.99947,76.676893,785.157
15.17943,76.638126,497.027
15.42652,76.524938,413.896
15.674101,76.447122,523.615
15.818335,76.444542,532.897
15.956969,76.36828,581.04
16.098231,76.32882,509.245
16.272599,76.2518,569.161
16.446795,76.174706,532.9
16.689822,76.059269,586.337
16.899215,75.981185,528.821
17.242701,75.823136,462.478
17.446624,75.705539,435.582
17.724163,75.623152,484.218
17.89525,75.543534,488.324
18.20756,75.459861,498.773
18.514941,75.336552,575.67
18.684349,75.255044,560.988
18.856543,75.210952,667.518
18.891543,75.209639,663.147
19.30551,75.11862,492.775
19.375384,75.115967,487.413
19.926821,75.017172,533.652
20.030849,75.012239,528.34
20.547826,74.949683,312.474
20.893846,74.933081,268.93
21.307907,74.911523,156.489
21.617723,74.894126,603.994
21.861113,74.918622,339.143
22.067411,74.906954,141.166
22.413537,74.925693,304.156
22.687798,74.908381,519.393
22.859068,74.897025,500.235
23.054728,74.729711,416.793
23.086507,74.688953,406.301
23.218582,74.602651,424.971
23.350633,74.516042,333.861
23.585416,74.421442,201.327
23.888755,74.321567,175.464
24.262979,74.252278,448.687
24.468513,74.235672,488.122
24.842936,74.165731,460.942
25.219859,74.134825,524.622
25.494159,74.110376,551.549
25.871648,74.07522,507.122
26.356984,74.109867,322.581
26.565335,74.130539,329.79
26.776002,74.190732,321.096
27.023593,74.286159,350.407
27.202197,74.388932,347.738
27.419265,74.568584,345.567
27.528864,74.678034,343.224
27.70728,74.781039,350.372
27.923957,74.961042,333.626
27.996742,75.034514,329.621
28.142198,75.181571,316.174
28.362481,75.441203,286.643
28.471539,75.551329,273.199
28.832705,75.879728,231.246
28.905185,75.953605,219.296
29.014116,76.064086,219.11
29.263222,76.202504,225.12
29.405093,76.27045,221.918
29.655992,76.449601,235.098
29.764888,76.560916,243.693
29.97691,76.622876,246.744
30.120587,76.731716,255.355
30.225299,76.722526,258.661
30.438841,76.825742,280.109
30.582513,76.935382,323.001
30.692182,77.089108,863.458
30.799504,77.161625,1252.94
30.941872,77.231359,1437.767
31.08355,77.260116,2469.904
31.294702,77.241942,2090.491
31.366133,77.276901,2052.315
31.578542,77.299858,2312.141
31.72056,77.32897,2742.121
31.897027,77.31387,2737.797
32.003903,77.346132,2875.339
32.180578,77.33103,3939.732
32.251295,77.324964,4592.237
32.501634,77.343852,4737.775
32.609103,77.333766,5085.636
32.787475,77.275123,3933.226
32.965135,77.17427,5806.425
33.250008,77.020139,4280.997
33.285038,76.97445,4671.618
33.427189,76.875599,4150.499
33.605543,76.772575,4515.976
33.747942,76.672752,5023.892
33.999563,76.473478,5111.409
34.181669,76.409508,4389.987
34.254547,76.357611,4795.807
34.477019,76.330042,3714.653
34.810881,76.244757,3787.046
34.997997,76.264897,4894.327
35.002095,76.526764,2724.313
34.929983,76.709957,3046.444
34.894414,76.844781,4700.923
34.896428,77.018537,4967.894
34.827781,77.328428,5350.277
34.793143,77.417805,4885.345
34.76288,77.677877,5506.347
34.695359,77.94088,4825.377
34.588009,78.078672,5998.178
34.407544,78.222215,5018.33
34.262113,78.27717,3824.545
34.079442,78.292783,5328.827
33.860589,78.3114,4444.435
33.715269,78.323528,5822.183
33.458487,78.134572,4422.341
33.203764,78.030249,4996.756
33.024111,78.045287,5681.134
32.808152,78.063673,4800.81
32.48488,78.091028,4966.066
32.270884,78.108362,4659.449
32.129671,78.118938,4622.877
31.777037,78.145205,5073.587
31.529795,78.164021,3232.419
31.248381,78.226161,4033.036
31.107448,78.236739,2373.105
30.82676,78.257095,1474.876
30.582526,78.273914,1134.822
30.162442,78.181359,514.186
29.845957,78.042404,250.851
29.633403,77.897194,255.313
29.349125,77.677924,233.442
29.135047,77.49448,230.32
28.923519,77.390986,220.345
28.781281,77.282459,206.325
28.465104,77.147706,272.371
27.972772,76.908214,370.359
27.551567,76.702861,252
27.058201,76.426092,290.959
26.883352,76.361311,314.956
26.566485,76.189549,298.136
26.256999,76.172964,263.666
26.012237,76.073928,260.354
25.771164,76.052729,284.943
25.389689,75.964473,236.235
25.287257,75.971878,246.746
24.771493,75.92916,342.374
24.566764,75.942931,345.822
24.327939,75.958874,372.624
24.123258,75.97249,407.512
24.052996,75.938829,427.62
23.848299,75.951999,487.016
23.199529,75.989857,501.713
22.55467,76.1029,466.684
22.043045,76.16617,237.706
21.805188,76.215396,347.191
21.567232,76.264475,409.943
20.955447,76.405202,242.016
20.684097,76.491062,340.553
19.797627,76.712658,483.663
18.937442,76.889006,385.987
18.867715,76.891156,412.735
18.27657,76.946275,585.832
18.13818,76.986547,581.843
17.82344,77.030928,665.001
17.614134,77.072751,610.801
17.26564,77.154599,425.029
16.812214,77.275008,472.679
16.277576,77.320415,367.864
15.851129,77.400371,356.681
15.603626,77.477248,412.699
15.313733,77.480946,460.076
15.097333,77.519626,390.464
14.990163,77.557174,329.238
14.846363,77.595082,343.063
14.700074,77.596564,337.731
14.409362,77.635932,396.319
14.127309,77.820706,475.763
13.6114,77.896014,850.944
13.4644,77.933023,900.037
13.172368,78.043433,871.888
12.839775,78.117675,751.1
12.504122,78.191043,488.57
12.241384,78.263476,424.876
11.975397,78.299546,764.284
11.667625,78.299193,357.914
11.477358,78.335376,455.496
11.366653,78.408053,713.479
10.98389,78.515756,87.785
10.787098,78.514722,104.469
10.516169,78.586165,144.953
10.28943,78.730761,102.796
10.37603,78.840262,108.601
10.536539,78.877313,87.883
11.47544,78.880313,114.127
11.745026,78.880403,163.935
12.243751,78.880568,223.046
12.394645,78.844466,460.355
12.697061,78.808187,408.803
13.030491,78.734328,473.497
13.436994,78.659861,754.989
13.83984,78.549104,565.912
14.023424,78.511985,417.394
14.386323,78.436223,296.927
14.640391,78.397548,201.861
14.823148,78.395848,183.764
15.115011,78.393124,174.743
15.33336,78.391033,195.975
15.514631,78.38909,212.297
15.802349,78.385022,286.792
15.945964,78.382969,263
16.19695,78.379362,314.111
16.483268,78.375235,448.056
16.590489,78.373687,459.162
16.769019,78.371106,563.84
17.088138,78.365408,621.49
17.511654,78.357102,580.022
17.79345,78.351555,579.751
18.145055,78.344605,559.084
18.494573,78.336567,560.582
18.97995,78.287689,329
19.118976,78.284161,332.912
19.774191,78.193439,419.12
20.185963,78.143741,298.653
20.5594,78.021181,286.513
21.037338,77.931851,345.254
21.446536,77.87953,667.736
21.549175,77.875613,701.929
22.227704,77.737385,501.537
22.432624,77.729292,426.008
22.567359,77.686153,325.743
22.737719,77.678427,292.139
23.449657,77.570555,445.375
23.994243,77.54459,472
24.843147,77.461275,463.882
25.249881,77.401033,404.398
25.726794,77.372342,398.602
26.067718,77.351432,225.188
26.477081,77.326067,253.62
26.683322,77.35209,247.009
26.99421,77.408881,191.915
27.271108,77.468096,176.236
27.443871,77.495542,179.005
27.582403,77.525362,182.065
27.859549,77.585249,176.596
27.895236,77.622073,178
28.138177,77.68458,195.094
28.278659,77.753315,199.613
28.351498,77.866255,199.191
28.495655,78.053283,204.295
28.532554,78.129589,204.539
28.539529,78.36528,197.249
28.52023,78.91601,186.649
28.456732,79.114942,177.073
28.291763,79.396631,163.916
28.091308,79.639767,159.159
27.85705,79.88254,151.005
27.621033,80.046829,147.287
27.451796,80.130639,143.688
26.976475,80.263816,138.483
26.161476,80.368251,122.098
25.210616,80.399256,141.192
24.4646,80.421473,351.247
24.19247,80.392208,359.491
23.852543,80.36494,378.811
23.273893,80.3063,491.472
22.796703,80.245329,414
22.625938,80.213117,568.508
22.214609,80.112981,353.755
21.838679,80.085496,318.214
21.355342,79.913848,280.872
20.871596,79.778988,240.511
20.561488,79.749549,250.293
20.35413,79.717798,254.13
20.043438,79.688539,179.841
19.974642,79.690157,182.537
19.419688,79.629311,222.542
19.002128,79.601261,201.701
18.689516,79.607546,150.12
18.060233,79.583072,247.912
17.533086,79.591618,240.441
17.074894,79.598973,154.92
16.898363,79.601796,127.989
16.72045,79.60407,96.759
16.649153,79.604948,102.232
16.220636,79.610212,225.245
15.790904,79.615482,150.064
15.539578,79.618523,102.265
15.110488,79.731004,57.548
14.855834,79.733191,66.832
14.709524,79.734299,51.79
14.345367,79.773211,50.881
14.125227,79.774911,23.894
13.942292,79.812046,54.43
13.721792,79.849323,31.319
13.23877,79.887567,42.753
13.126747,79.888126,43.752
12.902265,79.889209,68.422
12.563117,79.890409,34.882
12.447792,79.854726,44.213
12.561351,79.854399,49.79
12.825313,79.853489,54.26
13.01286,79.852675,63.027
13.386428,79.850883,105.248
13.686398,79.885528,25.196
13.834688,79.884684,95.628
14.019585,79.883599,40.817
14.168746,79.918649,6.317
14.538725,79.987918,15.502
14.7978,80.057954,4.148
15.236502,80.12602,0
15.418647,80.160281,4.37
15.779614,80.192431,10
16.107395,80.332798,14.844
16.324228,80.402331,41.261
16.720261,80.541621,64.465
17.004438,80.57403,81.383
17.288542,80.642251,170.319
17.534881,80.638998,89.574
17.675493,80.637139,116
17.922345,80.669936,283.235
18.272874,80.665315,473.804
18.586022,80.660428,178.118
18.795521,80.693304,189.821
19.281956,80.721811,253.098
19.663562,80.75205,471.954
19.973044,80.746386,332.068
20.213459,80.741913,355.134
20.419435,80.738097,366.901
20.694809,80.769462,365.792
21.037483,80.763154,333.992
21.242425,80.759013,397.984
21.481204,80.754011,709.578
21.856188,80.74612,539.588
22.231735,80.77496,652.519
22.74248,80.800458,751.281
23.252389,80.825417,608.923
23.525413,80.893163,452.298
23.898436,80.884526,377.16
24.068664,80.917401,337.702
24.442252,80.945204,514.038
24.680285,80.976583,292.274
24.849778,80.97232,353.371
25.189511,81.001315,145.853
25.325118,80.997899,111.211
25.461573,81.031844,108.064
25.598041,81.065873,108.905
25.734524,81.099985,111.406
26.00619,81.092827,110.596
26.142728,81.127104,114.288
26.44917,81.157069,119.479
26.687708,81.188949,116.555
26.858637,81.222406,120.706
27.099093,81.33048,120.949
27.272397,81.517319,115.131
27.273467,81.593812,111.023
27.245283,82.053087,110.42
27.111179,82.246274,100.035
26.941303,82.287156,97.564
26.737838,82.366419,92.463
26.500378,82.407826,90.779
26.330552,82.410255,94.362
26.126802,82.413162,92.507
25.821661,82.455164,89.2
25.448813,82.497838,91.731
25.076362,82.540068,151.936
24.907322,82.579517,243.826
24.094717,82.62632,297.246
23.68823,82.630851,711.101
23.484881,82.633052,554.697
22.602449,82.569064,328.038
22.194201,82.536749,286.004
21.853425,82.503787,250.485
21.614582,82.469839,247.886
21.444211,82.471706,351.792
21.103303,82.475418,309.935
20.725959,82.406588,348.476
20.348555,82.374269,732.288
20.039844,82.377549,385.658
19.592498,82.346054,602.999
19.177282,82.314042,546
18.863941,82.208975,516.605
18.620411,82.175398,253.769
18.13162,82.108264,435.171
17.885723,82.074599,917.144
17.71031,82.076239,499.022
17.358977,82.079522,88.238
17.291253,82.223703,58.56
17.291883,82.259578,57.132
17.505187,82.401278,457.353
17.859998,82.649718,694.027
17.895578,82.68536,170.057
18.596261,82.931652,944.958
18.770106,83.002351,1059.257
19.151216,83.071697,809.506
20.01346,83.174165,217
20.253583,83.172559,196.671
21.178002,83.202724,590.284
21.995604,83.197269,226.923
22.675406,83.192682,572.878
23.488764,83.113239,560.759
24.403354,83.10635,267.189
24.674079,83.067002,316.888
24.945071,83.064835,236.215
25.18194,83.025503,80.782
25.453345,83.060727,78
25.691292,83.133968,78.66
25.895132,83.170096,80.079
26.09925,83.244105,79.101
26.201525,83.318994,78.796
26.372738,83.658575,78.493
26.407287,83.96136,74.74
26.101657,84.187882,63.078
26.033751,84.187737,61.428
25.558473,84.299438,68.062
25.219305,84.335931,86.147
24.744887,84.372105,113.936
24.575488,84.371651,148.435
24.236725,84.370745,343.514
